file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/n_body/arithmetic/mutant0/mutant0-static/5.grift,#(struct:srcloc 5.grift 4 25 108 43),elsewhere*8,8, (#(struct:srcloc 5.grift 84 48 3996 29) #(struct:srcloc 5.grift 83 48 3917 29) #(struct:srcloc 5.grift 59 20 1831 46) #(struct:srcloc 5.grift 60 224 2103 38) #(struct:srcloc 5.grift 82 48 3838 29) #(struct:srcloc 5.grift 61 223 2367 38) #(struct:srcloc 5.grift 62 229 2637 37) #(struct:srcloc 5.grift 63 228 2905 38))
/exp/n_body/arithmetic/mutant0/mutant0-static/6.grift,#(struct:srcloc 6.grift 4 25 108 43),elsewhere*7,7, (#(struct:srcloc 6.grift 62 229 2611 37) #(struct:srcloc 6.grift 84 48 3961 29) #(struct:srcloc 6.grift 83 48 3882 29) #(struct:srcloc 6.grift 60 224 2086 38) #(struct:srcloc 6.grift 63 228 2879 38) #(struct:srcloc 6.grift 82 48 3803 29) #(struct:srcloc 6.grift 61 214 2341 38))
/exp/n_body/arithmetic/mutant0/mutant0-static/7.grift,#(struct:srcloc 7.grift 4 25 108 43),elsewhere*7,7, (#(struct:srcloc 7.grift 62 229 2585 37) #(struct:srcloc 7.grift 84 48 3928 29) #(struct:srcloc 7.grift 83 48 3849 29) #(struct:srcloc 7.grift 60 217 2060 38) #(struct:srcloc 7.grift 63 228 2853 38) #(struct:srcloc 7.grift 82 48 3770 29) #(struct:srcloc 7.grift 61 214 2315 38))
/exp/n_body/arithmetic/mutant0/mutant0-static/9.grift,#(struct:srcloc 9.grift 4 25 108 43),elsewhere*7,7, (#(struct:srcloc 9.grift 84 48 3809 29) #(struct:srcloc 9.grift 62 220 2534 37) #(struct:srcloc 9.grift 83 48 3730 29) #(struct:srcloc 9.grift 60 217 2018 38) #(struct:srcloc 9.grift 63 228 2802 38) #(struct:srcloc 9.grift 82 48 3651 29) #(struct:srcloc 9.grift 61 214 2273 38))
/exp/n_body/arithmetic/mutant21/mutant21-static/0.grift,#(struct:srcloc 0.grift 87 31 4283 34),grift-impl,1, (#(struct:srcloc 0.grift 85 6 4186 280))
/exp/n_body/arithmetic/mutant21/mutant21-static/2.grift,#(struct:srcloc 2.grift 87 31 4226 34),grift-impl,1, (#(struct:srcloc 2.grift 85 6 4129 280))
/exp/n_body/arithmetic/mutant21/mutant21-static/5.grift,#(struct:srcloc 5.grift 87 31 4015 34),grift-impl,1, (#(struct:srcloc 5.grift 85 6 3920 278))
/exp/n_body/arithmetic/mutant22/mutant22-static/2.grift,#(struct:srcloc 2.grift 87 40 4235 70),grift-impl,1, (#(struct:srcloc 2.grift 85 6 4129 276))
/exp/n_body/arithmetic/mutant22/mutant22-static/8.grift,#(struct:srcloc 8.grift 87 40 3951 70),grift-impl,1, (#(struct:srcloc 8.grift 85 6 3854 267))
/exp/n_body/arithmetic/mutant24/mutant24-static.grift,#(struct:srcloc mutant24-static.grift 175 30 4326 70),grift-impl,1, (#(struct:srcloc mutant24-static.grift 169 6 4088 389))
/exp/n_body/arithmetic/mutant24/mutant24-static/0.grift,#(struct:srcloc 0.grift 87 89 4341 70),grift-impl,1, (#(struct:srcloc 0.grift 85 6 4186 276))
/exp/n_body/arithmetic/mutant24/mutant24-static/1.grift,#(struct:srcloc 1.grift 87 89 4322 70),grift-impl,1, (#(struct:srcloc 1.grift 85 6 4167 276))
/exp/n_body/arithmetic/mutant24/mutant24-static/2.grift,#(struct:srcloc 2.grift 87 89 4281 70),grift-impl,1, (#(struct:srcloc 2.grift 85 6 4126 276))
/exp/n_body/arithmetic/mutant24/mutant24-static/4.grift,#(struct:srcloc 4.grift 87 89 4080 70),grift-impl,1, (#(struct:srcloc 4.grift 85 6 3927 274))
/exp/n_body/arithmetic/mutant24/mutant24-static/7.grift,#(struct:srcloc 7.grift 87 89 4034 70),grift-impl,1, (#(struct:srcloc 7.grift 85 6 3888 267))
/exp/n_body/arithmetic/mutant24/mutant24-static/8.grift,#(struct:srcloc 8.grift 87 89 4008 70),grift-impl,1, (#(struct:srcloc 8.grift 85 6 3862 267))
/exp/n_body/arithmetic/mutant26/mutant26-static/1.grift,#(struct:srcloc 1.grift 87 138 4361 70),grift-impl,1, (#(struct:srcloc 1.grift 85 6 4157 276))
/exp/n_body/arithmetic/mutant26/mutant26-static/5.grift,#(struct:srcloc 5.grift 87 138 4122 70),grift-impl,1, (#(struct:srcloc 5.grift 85 6 3920 274))
/exp/n_body/arithmetic/mutant26/mutant26-static/6.grift,#(struct:srcloc 6.grift 87 138 4239 70),grift-impl,1, (#(struct:srcloc 6.grift 85 6 4037 274))
/exp/n_body/arithmetic/mutant28/mutant28-static/1.grift,#(struct:srcloc 1.grift 97 18 4691 159),elsewhere,1, (#(struct:srcloc 1.grift 99 28 4910 37))
/exp/n_body/arithmetic/mutant28/mutant28-static/4.grift,#(struct:srcloc 4.grift 97 18 4469 159),elsewhere,1, (#(struct:srcloc 4.grift 99 28 4688 37))
/exp/n_body/arithmetic/mutant28/mutant28-static/6.grift,#(struct:srcloc 6.grift 97 18 4447 159),elsewhere,1, (#(struct:srcloc 6.grift 99 28 4664 37))
/exp/n_body/arithmetic/mutant38/mutant38-dynamic.grift,#(struct:srcloc mutant38-dynamic.grift 207 15 4992 63),elsewhere,1, (#(struct:srcloc mutant38-dynamic.grift 219 35 5379 11))
/exp/n_body/arithmetic/mutant38/mutant38-static/8.grift,#(struct:srcloc 8.grift 110 18 4972 63),elsewhere,1, (#(struct:srcloc 8.grift 116 39 5281 11))
/exp/n_body/arithmetic/mutant39/mutant39-dynamic.grift,#(struct:srcloc mutant39-dynamic.grift 211 15 5104 63),elsewhere,1, (#(struct:srcloc mutant39-dynamic.grift 219 47 5391 11))
