file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/arithmetic/mutant3/mutant3-static/9.grift,#(struct:srcloc 9.grift 13 18 430 53),elsewhere,1, (#(struct:srcloc 9.grift 10 6 295 1485))
/exp/blackscholes/arithmetic/mutant6/mutant6-dynamic.grift,#(struct:srcloc mutant6-dynamic.grift 31 15 677 37),elsewhere,1, (#(struct:srcloc mutant6-dynamic.grift 20 6 397 1633))
/exp/blackscholes/arithmetic/mutant6/mutant6-static/9.grift,#(struct:srcloc 9.grift 17 21 609 37),elsewhere,1, (#(struct:srcloc 9.grift 12 9 386 1393))
/exp/blackscholes/arithmetic/mutant7/mutant7-dynamic.grift,#(struct:srcloc mutant7-dynamic.grift 35 17 776 39),elsewhere,1, (#(struct:srcloc mutant7-dynamic.grift 28 8 612 1417))
/exp/blackscholes/arithmetic/mutant7/mutant7-static/9.grift,#(struct:srcloc 9.grift 19 24 686 39),elsewhere,1, (#(struct:srcloc 9.grift 16 12 568 1210))
/exp/blackscholes/arithmetic/mutant8/mutant8-dynamic.grift,#(struct:srcloc mutant8-dynamic.grift 39 19 885 39),elsewhere,1, (#(struct:srcloc mutant8-dynamic.grift 32 10 705 1323))
/exp/blackscholes/arithmetic/mutant9/mutant9-dynamic.grift,#(struct:srcloc mutant9-dynamic.grift 43 21 1002 39),elsewhere,1, (#(struct:srcloc mutant9-dynamic.grift 36 12 808 1219))
/exp/blackscholes/constant-swap/mutant38/mutant38-static.grift,#(struct:srcloc mutant38-static.grift 203 16 5817 9),bug-loc,1, (#(struct:srcloc mutant38-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant38/mutant38-static/0.grift,#(struct:srcloc 0.grift 112 19 4921 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
/exp/blackscholes/constant-swap/mutant38/mutant38-static/1.grift,#(struct:srcloc 1.grift 112 19 4911 9),bug-loc,1, (#(struct:srcloc 1.grift 112 12 4904 49))
/exp/blackscholes/constant-swap/mutant38/mutant38-static/3.grift,#(struct:srcloc 3.grift 112 19 4874 9),bug-loc,1, (#(struct:srcloc 3.grift 112 12 4867 49))
/exp/blackscholes/constant-swap/mutant38/mutant38-static/5.grift,#(struct:srcloc 5.grift 112 19 4871 9),bug-loc,1, (#(struct:srcloc 5.grift 112 12 4864 49))
/exp/blackscholes/constant-swap/mutant38/mutant38-static/6.grift,#(struct:srcloc 6.grift 112 19 4868 9),bug-loc,1, (#(struct:srcloc 6.grift 112 12 4861 49))
/exp/blackscholes/constant-swap/mutant41/mutant41-static.grift,#(struct:srcloc mutant41-static.grift 203 20 5821 9),bug-loc,1, (#(struct:srcloc mutant41-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant41/mutant41-static/0.grift,#(struct:srcloc 0.grift 112 23 4925 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
/exp/blackscholes/constant-swap/mutant41/mutant41-static/1.grift,#(struct:srcloc 1.grift 112 23 4914 9),bug-loc,1, (#(struct:srcloc 1.grift 112 12 4903 49))
/exp/blackscholes/constant-swap/mutant41/mutant41-static/2.grift,#(struct:srcloc 2.grift 112 23 4890 9),bug-loc,1, (#(struct:srcloc 2.grift 112 12 4879 49))
/exp/blackscholes/constant-swap/mutant41/mutant41-static/3.grift,#(struct:srcloc 3.grift 112 23 4880 9),bug-loc,1, (#(struct:srcloc 3.grift 112 12 4869 49))
/exp/blackscholes/constant-swap/mutant41/mutant41-static/4.grift,#(struct:srcloc 4.grift 112 23 4837 9),bug-loc,1, (#(struct:srcloc 4.grift 112 12 4826 49))
